id,sentiment,kfold,rf_svd_pred
11703_9,1,0,0.57
6742_8,1,0,0.59
10071_1,0,0,0.54
9841_7,1,0,0.73
11579_10,1,0,0.51
5216_8,1,0,0.51
1683_7,1,0,0.4
818_4,0,0,0.73
11779_3,0,0,0.32
27_1,0,0,0.12
4511_9,1,0,0.56
1268_7,1,0,0.6
11633_1,0,0,0.36
3776_4,0,0,0.33
9233_4,0,0,0.61
1542_4,0,0,0.44
4450_3,0,0,0.55
1778_10,1,0,0.46
4851_7,1,0,0.69
2592_3,0,0,0.38
6921_1,0,0,0.31
528_9,1,0,0.66
2104_7,1,0,0.58
7353_1,0,0,0.49
11631_7,1,0,0.45
943_2,0,0,0.36
5085_7,1,0,0.41
5198_3,0,0,0.18
11646_4,0,0,0.29
2355_7,1,0,0.68
5992_7,1,0,0.36
6996_4,0,0,0.39
1210_8,1,0,0.71
4660_7,1,0,0.38
691_9,1,0,0.55
3315_1,0,0,0.34
4327_8,1,0,0.44
8959_1,0,0,0.29
4466_8,1,0,0.64
5960_4,0,0,0.16
8514_1,0,0,0.42
4862_1,0,0,0.47
3521_1,0,0,0.24
1805_1,0,0,0.23
4063_2,0,0,0.43
6050_10,1,0,0.74
1036_9,1,0,0.71
685_1,0,0,0.26
8308_7,1,0,0.55
9485_10,1,0,0.55
3566_9,1,0,0.76
4259_9,1,0,0.55
7967_9,1,0,0.71
3489_10,1,0,0.7
6641_8,1,0,0.32
1786_4,0,0,0.48
2749_1,0,0,0.31
5212_3,0,0,0.27
11273_9,1,0,0.69
6077_1,0,0,0.21
2347_10,1,0,0.63
5302_9,1,0,0.57
8912_4,0,0,0.16
10463_10,1,0,0.74
7286_8,1,0,0.69
4860_10,1,0,0.73
8662_8,1,0,0.75
9253_4,0,0,0.34
2474_10,1,0,0.71
2343_4,0,0,0.49
7929_4,0,0,0.24
9994_2,0,0,0.36
9115_10,1,0,0.47
7498_10,1,0,0.58
11597_10,1,0,0.84
4758_8,1,0,0.67
723_2,0,0,0.36
9576_1,0,0,0.14
2994_4,0,0,0.36
11439_8,1,0,0.45
2922_10,1,0,0.69
2011_1,0,0,0.27
9817_2,0,0,0.22
1473_9,1,0,0.54
1101_8,1,0,0.57
9446_1,0,0,0.44
1234_10,1,0,0.73
7906_3,0,0,0.72
3802_10,1,0,0.57
3571_1,0,0,0.51
2519_10,1,0,0.62
8674_9,1,0,0.66
6474_3,0,0,0.49
10793_10,1,0,0.33
1677_9,1,0,0.44
2669_1,0,0,0.23
11884_4,0,0,0.42
2427_2,0,0,0.43
9504_2,0,0,0.43
7069_8,1,0,0.77
2784_1,0,0,0.35
6935_2,0,0,0.41
5353_7,1,0,0.64
876_4,0,0,0.31
11806_10,1,0,0.62
1028_3,0,0,0.3
5839_7,1,0,0.63
7103_7,1,0,0.44
1662_1,0,0,0.27
5612_1,0,0,0.24
6935_8,1,0,0.88
4449_8,1,0,0.54
5307_7,1,0,0.77
4026_9,1,0,0.76
3830_1,0,0,0.25
10216_3,0,0,0.45
6605_7,1,0,0.76
10345_4,0,0,0.62
12063_10,1,0,0.57
10588_1,0,0,0.52
968_10,1,0,0.72
5428_4,0,0,0.44
903_8,1,0,0.73
8445_10,1,0,0.76
2291_4,0,0,0.71
10807_1,0,0,0.16
4491_1,0,0,0.28
9619_4,0,0,0.5
10128_1,0,0,0.23
8833_9,1,0,0.72
137_7,1,0,0.58
9602_10,1,0,0.69
9399_4,0,0,0.75
12277_10,1,0,0.66
9372_4,0,0,0.61
2199_7,1,0,0.6
3027_8,1,0,0.72
3395_4,0,0,0.3
12001_8,1,0,0.7
5133_1,0,0,0.36
4539_1,0,0,0.23
5739_4,0,0,0.5
4046_8,1,0,0.41
1365_8,1,0,0.66
6386_10,1,0,0.56
4020_10,1,0,0.86
11305_1,0,0,0.32
8325_1,0,0,0.18
5707_2,0,0,0.53
10771_2,0,0,0.35
11831_7,1,0,0.64
4149_10,1,0,0.62
549_9,1,0,0.67
8621_10,1,0,0.58
9936_10,1,0,0.69
4088_7,1,0,0.58
1816_1,0,0,0.27
6034_10,1,0,0.63
2166_7,1,0,0.43
1991_10,1,0,0.88
10353_3,0,0,0.39
1027_1,0,0,0.4
3660_1,0,0,0.39
10751_1,0,0,0.26
6202_1,0,0,0.42
5967_10,1,0,0.4
8430_3,0,0,0.58
8921_4,0,0,0.6
6657_9,1,0,0.51
9723_1,0,0,0.42
6088_3,0,0,0.15
6119_1,0,0,0.44
2393_8,1,0,0.58
10707_8,1,0,0.71
3955_9,1,0,0.7
328_1,0,0,0.28
4175_8,1,0,0.64
8224_8,1,0,0.63
4325_4,0,0,0.51
8761_10,1,0,0.76
10820_1,0,0,0.55
8968_8,1,0,0.77
3927_9,1,0,0.59
2223_8,1,0,0.57
7567_4,0,0,0.38
9864_8,1,0,0.62
12260_10,1,0,0.61
9047_10,1,0,0.6
10441_1,0,0,0.23
3327_3,0,0,0.35
2068_8,1,0,0.89
8431_4,0,0,0.35
527_9,1,0,0.75
4812_8,1,0,0.68
4722_8,1,0,0.72
10015_2,0,0,0.18
5534_4,0,0,0.54
5840_7,1,0,0.32
2534_8,1,0,0.35
11746_2,0,0,0.33
4335_9,1,0,0.68
5218_4,0,0,0.34
11727_7,1,0,0.35
11026_1,0,0,0.22
8252_9,1,0,0.56
12236_10,1,0,0.42
9856_4,0,0,0.84
6967_3,0,0,0.15
3906_10,1,0,0.46
2469_10,1,0,0.27
5572_10,1,0,0.46
2394_7,1,0,0.72
12051_10,1,0,0.36
3297_10,1,0,0.8
10867_7,1,0,0.69
2918_9,1,0,0.75
6065_10,1,0,0.31
6191_9,1,0,0.58
12425_7,1,0,0.66
10683_1,0,0,0.23
11999_3,0,0,0.6
6596_1,0,0,0.52
6631_7,1,0,0.45
3883_1,0,0,0.12
4176_10,1,0,0.5
12300_4,0,0,0.65
3219_2,0,0,0.31
2845_8,1,0,0.65
8783_1,0,0,0.18
1604_4,0,0,0.33
6151_1,0,0,0.59
2172_7,1,0,0.53
1179_2,0,0,0.41
2411_3,0,0,0.36
7963_9,1,0,0.77
6383_3,0,0,0.3
5005_8,1,0,0.62
6547_9,1,0,0.74
11718_10,1,0,0.76
5810_9,1,0,0.52
9282_8,1,0,0.64
3268_1,0,0,0.53
7332_7,1,0,0.69
8648_9,1,0,0.46
7716_9,1,0,0.79
3118_9,1,0,0.73
2470_10,1,0,0.5
9090_1,0,0,0.37
9288_4,0,0,0.31
8190_4,0,0,0.27
4730_10,1,0,0.79
1551_4,0,0,0.71
5245_4,0,0,0.38
3759_8,1,0,0.57
0_9,1,0,0.57
7254_1,0,0,0.21
1593_4,0,0,0.65
2838_2,0,0,0.59
12014_10,1,0,0.61
5669_10,1,0,0.78
3918_10,1,0,0.93
4206_9,1,0,0.85
4442_4,0,0,0.45
7193_10,1,0,0.71
12467_1,0,0,0.42
1208_4,0,0,0.48
4721_1,0,0,0.44
3274_2,0,0,0.5
9848_3,0,0,0.29
2815_10,1,0,0.64
2111_2,0,0,0.51
6624_9,1,0,0.37
5310_1,0,0,0.25
6889_1,0,0,0.44
810_1,0,0,0.57
1395_10,1,0,0.69
6832_10,1,0,0.85
2792_10,1,0,0.64
2583_10,1,0,0.24
6757_8,1,0,0.67
2278_10,1,0,0.77
6926_10,1,0,0.82
4101_8,1,0,0.61
5870_1,0,0,0.45
5535_2,0,0,0.16
3622_2,0,0,0.57
10679_10,1,0,0.59
11210_7,1,0,0.84
12471_1,0,0,0.47
501_10,1,0,0.64
7001_10,1,0,0.7
11962_4,0,0,0.43
5303_4,0,0,0.35
8450_7,1,0,0.39
2521_10,1,0,0.52
6450_10,1,0,0.78
5754_9,1,0,0.61
3616_2,0,0,0.26
6440_8,1,0,0.54
12311_9,1,0,0.67
8388_1,0,0,0.4
2138_9,1,0,0.43
38_2,0,0,0.29
7539_10,1,0,0.57
8823_8,1,0,0.57
8760_2,0,0,0.34
1630_8,1,0,0.31
218_9,1,0,0.62
9782_4,0,0,0.23
2641_1,0,0,0.5
7678_3,0,0,0.7
6428_3,0,0,0.36
6739_1,0,0,0.33
11233_2,0,0,0.48
2294_8,1,0,0.54
10668_3,0,0,0.36
4264_1,0,0,0.3
4359_3,0,0,0.35
6210_1,0,0,0.36
639_3,0,0,0.51
9574_9,1,0,0.75
5950_10,1,0,0.78
5687_1,0,0,0.18
6223_1,0,0,0.3
2558_1,0,0,0.09
8537_4,0,0,0.18
3142_1,0,0,0.2
2120_8,1,0,0.7
10556_10,1,0,0.4
2034_9,1,0,0.76
10165_3,0,0,0.32
10315_2,0,0,0.26
6653_3,0,0,0.54
6418_10,1,0,0.61
3102_9,1,0,0.59
7549_1,0,0,0.23
3696_4,0,0,0.44
8447_3,0,0,0.42
5897_1,0,0,0.3
518_3,0,0,0.56
3468_10,1,0,0.64
8618_1,0,0,0.32
11471_7,1,0,0.56
7515_1,0,0,0.08
993_2,0,0,0.32
1175_9,1,0,0.67
9911_3,0,0,0.29
8787_8,1,0,0.75
9624_10,1,0,0.7
6457_4,0,0,0.24
568_1,0,0,0.31
1728_3,0,0,0.17
5409_10,1,0,0.82
10793_4,0,0,0.43
3028_7,1,0,0.65
3635_9,1,0,0.64
6730_10,1,0,0.39
9883_8,1,0,0.75
9908_8,1,0,0.33
5447_4,0,0,0.53
5044_9,1,0,0.54
1830_1,0,0,0.24
6977_9,1,0,0.73
3853_9,1,0,0.56
6109_8,1,0,0.65
342_1,0,0,0.31
1254_7,1,0,0.65
10144_2,0,0,0.31
8446_10,1,0,0.73
517_10,1,0,0.78
5940_7,1,0,0.67
1033_4,0,0,0.6
8791_10,1,0,0.59
1338_3,0,0,0.61
10489_10,1,0,0.74
6528_9,1,0,0.68
6288_3,0,0,0.22
9247_10,1,0,0.53
11818_2,0,0,0.49
8342_4,0,0,0.34
9290_4,0,0,0.41
195_4,0,0,0.69
5709_10,1,0,0.58
3293_1,0,0,0.45
2678_1,0,0,0.19
9800_9,1,0,0.7
11712_1,0,0,0.29
3922_10,1,0,0.75
7441_3,0,0,0.25
4367_4,0,0,0.33
7717_10,1,0,0.69
9869_10,1,0,0.61
9518_10,1,0,0.65
6173_8,1,0,0.77
802_10,1,0,0.85
2477_7,1,0,0.72
9880_10,1,0,0.51
8930_9,1,0,0.51
3935_1,0,0,0.3
9173_1,0,0,0.36
6708_10,1,0,0.37
10334_3,0,0,0.39
7938_7,1,0,0.35
4368_10,1,0,0.78
4641_9,1,0,0.68
2949_1,0,0,0.21
603_10,1,0,0.68
2816_7,1,0,0.83
8041_1,0,0,0.38
2561_3,0,0,0.22
10632_1,0,0,0.57
9179_3,0,0,0.44
6712_2,0,0,0.41
4504_1,0,0,0.49
11744_1,0,0,0.23
8720_3,0,0,0.3
6470_10,1,0,0.4
11866_1,0,0,0.29
9500_2,0,0,0.22
2589_7,1,0,0.8
183_8,1,0,0.81
2559_9,1,0,0.65
5951_4,0,0,0.69
449_4,0,0,0.58
718_2,0,0,0.63
10455_1,0,0,0.41
11021_1,0,0,0.39
1736_10,1,0,0.61
7768_8,1,0,0.7
10683_7,1,0,0.48
7722_3,0,0,0.41
989_9,1,0,0.7
10136_2,0,0,0.36
6505_10,1,0,0.52
5164_10,1,0,0.66
7045_1,0,0,0.21
8509_2,0,0,0.24
459_10,1,0,0.75
7769_3,0,0,0.37
9274_8,1,0,0.76
10805_10,1,0,0.55
10387_1,0,0,0.49
3407_2,0,0,0.42
6397_8,1,0,0.57
5576_3,0,0,0.49
8025_9,1,0,0.69
11391_2,0,0,0.45
3994_4,0,0,0.45
1509_2,0,0,0.55
12209_2,0,0,0.51
7778_10,1,0,0.72
3799_3,0,0,0.53
6371_4,0,0,0.31
1621_4,0,0,0.69
8727_7,1,0,0.44
11815_3,0,0,0.1
1704_1,0,0,0.38
2302_9,1,0,0.43
9333_8,1,0,0.55
8238_1,0,0,0.07
5186_10,1,0,0.71
3261_9,1,0,0.64
11459_4,0,0,0.61
7472_9,1,0,0.84
8572_7,1,0,0.72
7664_2,0,0,0.4
11028_4,0,0,0.63
11428_1,0,0,0.23
582_9,1,0,0.5
7802_10,1,0,0.69
4321_1,0,0,0.33
5191_2,0,0,0.12
1754_3,0,0,0.45
3326_4,0,0,0.41
11298_3,0,0,0.58
8211_3,0,0,0.46
4636_3,0,0,0.18
7939_2,0,0,0.27
9719_7,1,0,0.53
2983_7,1,0,0.61
12240_1,0,0,0.42
2294_2,0,0,0.58
1307_1,0,0,0.31
1230_10,1,0,0.49
8593_4,0,0,0.37
8804_10,1,0,0.7
1828_3,0,0,0.32
731_3,0,0,0.78
1080_2,0,0,0.35
2466_3,0,0,0.55
5105_4,0,0,0.52
1512_2,0,0,0.41
695_4,0,0,0.39
12256_9,1,0,0.71
11895_8,1,0,0.52
4247_4,0,0,0.54
9061_4,0,0,0.34
6415_8,1,0,0.66
7465_10,1,0,0.57
8915_1,0,0,0.34
9942_1,0,0,0.27
1599_1,0,0,0.18
5371_3,0,0,0.49
11264_1,0,0,0.33
6306_2,0,0,0.59
10578_1,0,0,0.45
10322_2,0,0,0.57
4467_7,1,0,0.8
2738_10,1,0,0.36
10953_10,1,0,0.69
5277_1,0,0,0.23
6644_1,0,0,0.19
6737_7,1,0,0.72
9005_4,0,0,0.58
10739_10,1,0,0.61
10020_3,0,0,0.37
5411_10,1,0,0.54
808_9,1,0,0.31
11115_1,0,0,0.32
4399_4,0,0,0.51
8138_10,1,0,0.32
2326_8,1,0,0.73
5090_10,1,0,0.69
67_2,0,0,0.44
117_3,0,0,0.6
8573_10,1,0,0.75
11872_10,1,0,0.54
11289_4,0,0,0.56
2852_7,1,0,0.46
5818_7,1,0,0.71
11220_1,0,0,0.28
7028_9,1,0,0.7
12104_1,0,0,0.32
10234_1,0,0,0.23
854_1,0,0,0.33
10924_3,0,0,0.29
3829_10,1,0,0.67
2762_1,0,0,0.19
673_8,1,0,0.42
3493_1,0,0,0.62
445_10,1,0,0.63
672_1,0,0,0.28
1013_2,0,0,0.48
3239_10,1,0,0.29
6636_8,1,0,0.6
1398_3,0,0,0.61
11851_10,1,0,0.58
8009_9,1,0,0.84
827_4,0,0,0.44
7483_2,0,0,0.28
3076_1,0,0,0.22
1945_8,1,0,0.49
3057_1,0,0,0.33
4597_1,0,0,0.37
9163_1,0,0,0.45
8855_10,1,0,0.49
11498_7,1,0,0.68
1758_10,1,0,0.35
637_3,0,0,0.3
6345_1,0,0,0.23
7811_7,1,0,0.62
11001_1,0,0,0.42
422_1,0,0,0.27
6414_1,0,0,0.25
7664_10,1,0,0.5
9303_1,0,0,0.16
831_2,0,0,0.49
9823_7,1,0,0.46
3403_9,1,0,0.89
11688_10,1,0,0.56
1845_7,1,0,0.56
7843_4,0,0,0.56
9045_1,0,0,0.42
12113_8,1,0,0.61
1177_9,1,0,0.68
7661_1,0,0,0.4
1349_8,1,0,0.7
9019_8,1,0,0.64
667_2,0,0,0.26
8535_7,1,0,0.72
8802_7,1,0,0.64
2627_9,1,0,0.49
6192_1,0,0,0.27
12022_2,0,0,0.42
4073_10,1,0,0.66
6931_8,1,0,0.6
7454_3,0,0,0.31
11183_2,0,0,0.49
6254_10,1,0,0.34
3613_3,0,0,0.49
964_3,0,0,0.26
2105_8,1,0,0.6
5837_7,1,0,0.77
3964_4,0,0,0.46
11931_2,0,0,0.11
10217_1,0,0,0.41
10388_4,0,0,0.5
9954_1,0,0,0.33
1516_7,1,0,0.63
5290_3,0,0,0.37
9326_2,0,0,0.56
3562_8,1,0,0.63
5251_7,1,0,0.46
4279_2,0,0,0.53
1175_2,0,0,0.6
11583_10,1,0,0.49
9482_7,1,0,0.75
6037_1,0,0,0.52
10439_1,0,0,0.34
7181_3,0,0,0.66
4685_4,0,0,0.51
10011_9,1,0,0.62
10917_8,1,0,0.6
5886_10,1,0,0.77
9669_1,0,0,0.3
9429_9,1,0,0.71
3861_4,0,0,0.23
2393_2,0,0,0.41
251_3,0,0,0.54
5935_4,0,0,0.48
97_9,1,0,0.65
3311_4,0,0,0.61
149_1,0,0,0.34
243_3,0,0,0.52
12219_10,1,0,0.75
8023_3,0,0,0.34
745_1,0,0,0.15
9345_1,0,0,0.16
4060_4,0,0,0.74
5567_1,0,0,0.29
2787_8,1,0,0.57
9125_2,0,0,0.47
9096_10,1,0,0.7
1395_3,0,0,0.3
10459_9,1,0,0.48
2896_9,1,0,0.71
793_2,0,0,0.4
646_9,1,0,0.85
5976_7,1,0,0.46
7909_10,1,0,0.76
11925_2,0,0,0.26
3920_9,1,0,0.59
9652_7,1,0,0.52
4483_2,0,0,0.34
4418_1,0,0,0.33
10962_3,0,0,0.41
10495_7,1,0,0.42
2308_10,1,0,0.67
713_10,1,0,0.44
11172_10,1,0,0.67
10676_3,0,0,0.35
8853_7,1,0,0.76
1213_10,1,0,0.6
11260_7,1,0,0.51
7254_10,1,0,0.53
7315_10,1,0,0.67
5004_3,0,0,0.42
6888_9,1,0,0.63
9947_1,0,0,0.21
8605_4,0,0,0.26
7298_1,0,0,0.34
9844_1,0,0,0.48
4687_3,0,0,0.19
5383_10,1,0,0.63
3140_1,0,0,0.61
5217_4,0,0,0.29
7848_10,1,0,0.79
5033_10,1,0,0.73
1752_1,0,0,0.23
8967_4,0,0,0.39
9880_1,0,0,0.34
5432_7,1,0,0.73
8183_4,0,0,0.39
1336_3,0,0,0.53
491_7,1,0,0.71
6246_9,1,0,0.44
7700_2,0,0,0.45
3471_8,1,0,0.58
2314_3,0,0,0.47
6686_9,1,0,0.62
4784_10,1,0,0.61
2405_2,0,0,0.23
12301_8,1,0,0.71
7073_3,0,0,0.41
